ID	baseMean	log2FoldChange	padj	Label
IL10RB	836.5	-0.2	0.1995	-
AC007823.1	6.4	-1.4	0.1995	-
CDC5L	1027.2	-0.2	0.1998	-
RBBP5	509.6	0.2	0.1998	-
MARCH4	199	-0.7	0.1998	-
INTS4	471.4	0.3	0.1998	-
MRFAP1L1	928.1	0.1	0.1998	-
HLA-F-AS1	52.9	0.9	0.1998	-
INPP5B	459.9	0.2	0.1999	-
FZD7	1710.1	0.4	0.2	-
TRIM52	279.5	-0.2	0.2	-
LINC02015	42.4	-1.1	0.2	-
SGSM2	1617	0.2	0.2001	-
FGFBP3	13.4	0.9	0.2002	-
FMR1	685.6	0.1	0.2003	-
ZGLP1	20.7	-0.8	0.2003	-
IMPDH1P10	34.9	-1.5	0.2007	-
ZEB1	10788.4	-0.3	0.201	-
BMP2K	1760	0.5	0.2011	-
COL18A1	3322	-0.4	0.2011	-
CCN5	1903.4	0.8	0.2013	-
SCARF2	1049	-0.4	0.2013	-
ITPR1	2676.6	-0.5	0.2015	-
ZNF782	52.1	-0.5	0.2015	-
AL135905.1	22.2	0.8	0.2015	-
OSBPL9	1555.8	-0.3	0.2016	-
FAM3C	1264	-0.4	0.2019	-
ZNF335	428.5	0.2	0.2019	-
GABRE	170.4	0.7	0.202	-
KCTD16	77.1	0.8	0.202	-
LINC01133	164.1	0.8	0.2022	-
GPATCH4	338.5	-0.4	0.2023	-
LINC01088	10.7	-1.2	0.2023	-
GDF6	7.5	1.4	0.2029	-
AL390879.1	18.4	0.8	0.2029	-
FAM135A	208.9	0.3	0.203	-
HNMT	1040.7	-0.7	0.203	-
HOTAIRM1	151.9	-0.5	0.203	-
UXS1	672.4	-0.3	0.2033	-
MT1G	18.3	-2.5	0.2033	-
FBXL16	13.8	-1.3	0.2034	-
TRIM37	864.8	0.3	0.2036	-
FOXD1-AS1	49	-0.5	0.2038	-
SERINC1	10763.7	-0.2	0.2039	-
PTPRB	20.5	0.9	0.2039	-
CD81-AS1	6.9	1.3	0.2039	-
TCAF2P1	26.1	-1	0.204	-
DCLRE1B	142.2	-0.3	0.2042	-
C19orf12	676.9	-0.3	0.2042	-
MYPN	13.5	1	0.2042	-
B3GALT1	54.5	-1.3	0.2042	-
AL021368.4	42.1	0.6	0.2042	-
SMIM12	406.1	-0.3	0.2044	-
PPP1R3B	816.5	-0.3	0.2046	-
ID1	50.5	-0.7	0.2047	-
MAF	1411.9	0.5	0.2047	-
U2AF1L5	615.8	-0.3	0.2047	-
UBE2D2	1147.2	-0.2	0.2049	-
VTI1A	599.2	-0.2	0.2049	-
ATP6V1C1	1675	-0.1	0.2051	-
DSE	4586.7	-0.2	0.2054	-
LINC01521	36.2	0.6	0.2057	-
CFB	1147.1	0.4	0.2058	-
RC3H1	676.3	-0.2	0.2059	-
MAGEF1	430.1	0.2	0.2059	-
FGF13	329.4	1.5	0.2064	-
HSD11B2	17	1.6	0.2064	-
NDOR1	229.8	-0.3	0.2065	-
AC243772.2	6.3	1.5	0.2065	-
AC239804.1	65.4	-0.9	0.2066	-
MIPEP	548.7	0.3	0.2069	-
NEURL2	65.6	0.4	0.207	-
MVK	92.2	0.6	0.2071	-
DESI2	1430	-0.2	0.2071	-
ERBB2	1884.9	-0.2	0.2071	-
EML3	1110.4	-0.2	0.2071	-
TMEM67	226.2	0.5	0.2071	-
CELSR3	90.2	-0.5	0.2075	-
FKBP1B	58.9	-0.5	0.2075	-
CCDC93	1664.9	0.2	0.2075	-
DENND6A	304.2	-0.4	0.2075	-
LTN1	895.5	-0.4	0.2075	-
SELENOH	529.4	-0.2	0.2075	-
AP001486.2	46.8	-0.6	0.2075	-
PKM	21673.1	0.3	0.2078	-
HCN2	46.2	-0.5	0.2079	-
PRRT2	302.3	0.6	0.2079	-
ZBTB7A	1184.7	-0.2	0.2081	-
LY75	52.8	-1	0.2082	-
SULT1C2	12.7	1.1	0.2082	-
RTL8A	691	-0.1	0.2082	-
FNDC5	13.1	1	0.2084	-
KCNG2	14.8	-1.2	0.2084	-
CNOT3	892.3	-0.2	0.2085	-
TMX3	2072.1	0.2	0.2085	-
RNF214	355	0.3	0.2085	-
NCOA7	1356.9	-0.4	0.2086	-
OAZ2	1962.3	0.2	0.2087	-
LINC02511	34.4	1.2	0.2087	-
EEF1AKMT4	23.8	-0.8	0.2087	-
TSC2	2210	0.2	0.209	-
AC124944.2	84.7	0.9	0.2094	-
CENPK	43.7	0.5	0.2096	-
TRMT2A	483.3	0.3	0.2097	-
SPSB2	113.5	0.4	0.2097	-
TMED7	2550.6	-0.2	0.2097	-
ZNF385D	144.5	1	0.2097	-
RAD54L	8.1	1.5	0.21	-
ACAP2	2078	0.2	0.21	-
FMNL1	471.5	0.4	0.21	-
SLC25A1	1116.8	-0.2	0.2101	-
GABARAPL1	6403	-0.4	0.2101	-
AC087854.1	38.7	-0.5	0.2101	-
AC010422.6	83.6	0.4	0.2102	-
DNM1P41	45.5	0.5	0.2104	-
AP2A1	3954.2	-0.1	0.2106	-
MRPL17	504.5	0.4	0.2107	-
LBX2-AS1	87.4	0.4	0.2107	-
TPGS2	2369.2	0.3	0.211	-
PGGT1B	376.9	0.3	0.211	-
ZNF16	137.2	0.3	0.2114	-
NSD1	1396.1	0.2	0.2118	-
PCBP4	904.8	0.2	0.212	-
GBP5	7	1.5	0.212	-
INAFM2	228.5	-0.6	0.212	-
GTF2F2	302.2	0.3	0.2121	-
FAM50A	1395	-0.2	0.2122	-
IRF4	237.7	-1.1	0.2122	-
FTH1P15	81.9	-0.5	0.2122	-
ADAMTS15	1445.7	-0.5	0.2123	-
POGK	822	-0.2	0.2125	-
RAB4A	766.7	-0.3	0.2125	-
R3HDM1	518.6	0.3	0.2128	-
MAN1A2	2336.1	0.2	0.213	-
STAU2-AS1	9.9	1.2	0.2131	-
FANCE	119.2	-0.3	0.2133	-
KIFAP3	878.4	0.2	0.2134	-
PPP1R13B	135.5	0.5	0.2134	-
NDRG4	180.1	0.7	0.2134	-
RBL2	2572.3	-0.3	0.2134	-
TBL1XR1	2381.3	0.3	0.2134	-
PLEKHM3	550.3	-0.2	0.2134	-
CCDC159	186.1	0.3	0.2134	-
PNMA3	10.6	1	0.2134	-
LONP1	1190	0.2	0.2135	-
AC092683.2	17.1	0.7	0.2135	-
RB1	1183.6	-0.1	0.2136	-
SLC16A3	2029.6	-0.8	0.2137	-
SPR	328.4	-0.2	0.2138	-
FMC1	62.1	-0.8	0.214	-
SLC26A1	78.7	0.6	0.2142	-
MAD2L2	328.7	-0.2	0.2146	-
LPIN3	198.8	-0.6	0.2146	-
NBPF12	568.6	0.2	0.2147	-
PRRG4	21.2	-1.1	0.2148	-
PHETA1	349	-0.4	0.2148	-
PECR	112.2	0.3	0.2149	-
SELENOP	16809.1	-0.3	0.2149	-
SYS1-DBNDD2	25.7	1.3	0.2149	-
ZFAND1	282.2	0.2	0.215	-
DDX56	739.3	-0.2	0.215	-
TRA2A	765.5	0.4	0.215	-
MAP6D1	23.3	0.9	0.215	-
EXOC3L1	11.3	1	0.2151	-
DDX60L	687.7	-0.5	0.2151	-
PLCB4	613	-0.6	0.2152	-
AC139256.2	239	-0.5	0.2152	-
SLC7A11-AS1	7.1	2	0.2153	-
CHPF	2952.2	-0.3	0.2155	-
PSME4	1538.2	-0.2	0.2162	-
JAK1	8366	-0.2	0.2162	-
TAF15	2586	-0.2	0.2162	-
CYB5R3	13332.1	-0.2	0.2164	-
MSH2	400.4	0.3	0.2165	-
TMEM80	667.5	0.2	0.2165	-
TRAPPC8	1179.7	-0.2	0.2168	-
ZNF549	153.2	0.3	0.2174	-
DLEU2L	19.9	0.7	0.2179	-
MOSPD2	825.9	-0.4	0.2179	-
CISD2	373	-0.2	0.2179	-
THYN1	416.6	0.2	0.2179	-
GTF2E1	220.4	-0.2	0.2179	-
AL592211.1	8.4	1.1	0.2179	-
OTUD5	1405	-0.1	0.2181	-
JOSD2	455.1	-0.4	0.2181	-
AC011477.1	14.3	0.9	0.2181	-
SKA1	29	0.7	0.2182	-
AC005332.6	867.1	0.4	0.2182	-
RN7SK	14.7	1.7	0.2183	-
TRIM22	3037.9	0.2	0.2185	-
IL22RA1	13.9	-1.2	0.2185	-
GLIS3	736.9	-0.3	0.2187	-
AC005840.1	3081.9	-0.2	0.2188	-
WDTC1	1611.6	-0.2	0.2189	-
CCDC183-AS1	35.4	0.6	0.2189	-
PRRC1	1546.8	0.3	0.219	-
PRPS2	499.6	-0.2	0.2192	-
STC2	17012.6	-1.1	0.2194	-
L3MBTL2	426.9	0.2	0.2197	-
NCEH1	272.4	-0.5	0.2197	-
ETFDH	938.5	0.4	0.2197	-
PSMG2	777	-0.2	0.2199	-
PPP2R3A	752.9	0.3	0.22	-
BBX	2471	-0.3	0.22	-
ACOT4	8.7	-1.5	0.22	-
AP003080.1	8.4	-1.7	0.22	-
RICTOR	1022.7	-0.2	0.2201	-
DUSP12	214.9	0.3	0.2202	-
WASF2	4336.3	-0.2	0.2213	-
COL8A1	3452.2	-0.8	0.2215	-
ACPP	15.8	0.8	0.2218	-
KRCC1	890.1	-0.2	0.2218	-
APOBEC3F	87.1	0.4	0.2219	-
STK38L	493.5	-0.4	0.222	-
SMG1P7	44.3	0.7	0.2222	-
BTN3A2	540.8	0.4	0.2223	-
FITM2	319.1	-0.3	0.2224	-
SCRN3	478.4	0.3	0.2228	-
CERS2	3609.9	-0.2	0.2229	-
MATN3	53.2	-0.6	0.223	-
TMEM167A	2175.8	-0.2	0.2236	-
CNN1	1073.8	-0.6	0.2237	-
PIANP	470	-0.4	0.2239	-
PLEKHA2	1072.3	-0.2	0.2239	-
SLCO4A1	9.7	1.2	0.224	-
PTGER1	7.2	1.5	0.224	-
MARC1	79.8	0.6	0.224	-
TUBGCP6	1127.8	-0.2	0.2242	-
TNFAIP8L1	130.4	-0.3	0.2242	-
GCNT1	1714.4	-0.5	0.2242	-
ARVCF	196.2	0.4	0.2245	-
STEAP1B	139.2	-0.8	0.2245	-
G3BP1	2898.3	-0.2	0.2245	-
PMF1	328.8	0.2	0.2245	-
SREBF2	1933.2	0.3	0.2245	-
MARCH7	1892	0.2	0.2246	-
TIPIN	85.3	0.6	0.2247	-
BTC	46.9	-1	0.2247	-
EHD3	1911.1	-0.5	0.2249	-
TMEM38B	200.7	0.5	0.225	-
PRDM11	301.6	-0.4	0.2252	-
LY96	122.6	0.5	0.2252	-
GPAT4	1714.1	0.1	0.2254	-
ETHE1	743.6	0.4	0.2255	-
TRIM17	32.5	0.6	0.2255	-
EPS8L2	1023.8	0.3	0.2255	-
GJC1	380.9	0.3	0.2255	-
CEP152	119.4	0.4	0.2256	-
PSMD5	973.8	0.2	0.2258	-
SASH1	3262.4	-0.3	0.226	-
SRPK2	907.5	0.2	0.2261	-
OSBPL5	1360.6	-0.4	0.2263	-
SHROOM3	1135.7	-0.5	0.2266	-
MIA3	2286.2	0.2	0.2266	-
RECQL4	89.4	-0.6	0.2266	-
GAS6-AS1	115.5	1.1	0.2266	-
SCN2A	270.9	0.8	0.2267	-
CASP6	156.8	0.3	0.2267	-
CDNF	43.8	0.6	0.2267	-
SMIM41	125	-0.6	0.2267	-
FAM185A	67.5	0.4	0.2268	-
RBM6	1287.2	0.2	0.2271	-
PARP11	247.3	0.3	0.2271	-
OBSCN	253.6	0.8	0.2271	-
CCDC14	1850.3	0.2	0.2271	-
C6orf89	4780.1	0.2	0.2271	-
STUM	8.9	-2.1	0.2271	-
GVQW3	40.1	0.6	0.2274	-
OIP5-AS1	1501.8	-0.2	0.2274	-
POLR2F	433.5	-0.2	0.2275	-
KCNH5	16.1	1.7	0.2275	-
RBM15B	1723.8	0.1	0.2275	-
DIAPH3	182.8	-0.5	0.2276	-
FNTA	1253.2	-0.2	0.2276	-
TUBA1C	1913.3	0.4	0.228	-
PEBP4	14.8	-0.9	0.2282	-
TCAF2	184.2	-0.6	0.2282	-
METTL1	83.9	0.7	0.2284	-
CPD	7708.2	-0.5	0.2284	-
INIP	383	0.3	0.2284	-
SIN3B	1222.8	0.1	0.2285	-
WASHC4	2079.1	-0.2	0.229	-
GRASP	172.1	0.5	0.229	-
MPC2	624.9	0.2	0.2291	-
VWA5B1	9.7	-1.5	0.2291	-
OXTR	546	-1.9	0.2291	-
DUSP8	28.4	1.2	0.2291	-
AGPAT1	1903.9	-0.1	0.2291	-
EIF3A	8912.7	-0.1	0.2295	-
KIF1C	7627.3	-0.3	0.2297	-
MTF2	154.1	0.3	0.2297	-
AC091729.3	47.4	0.5	0.2297	-
SPTY2D1OS	13.5	-1	0.2297	-
SPIN1	1919.4	0.2	0.2298	-
ZNF610	94.6	0.4	0.2302	-
PMEPA1	153.7	1.1	0.2303	-
PHC1P1	138	0.3	0.2303	-
CEP72	18.8	0.7	0.2305	-
GNG5	1136.4	-0.3	0.2306	-
AL162258.2	36.1	-0.5	0.2306	-
MED12	1324.5	0.3	0.2309	-
CYBA	663.8	-0.3	0.231	-
AC009487.2	12.6	-2	0.2311	-
FAM199X	670.5	-0.2	0.2313	-
RAB43	109	-0.5	0.2314	-
AC108448.3	37.8	0.6	0.2314	-
TBC1D1	793.3	-0.3	0.2318	-
TMOD2	816	-0.3	0.2318	-
LINC00304	11.7	-1	0.232	-
TRAIP	27.6	0.7	0.232	-
POLRMT	496.1	-0.3	0.2325	-
GRIK5	145.1	0.5	0.2325	-
WSB2	1368.4	-0.2	0.2325	-
ZBTB14	250.9	0.2	0.2325	-
ORC6	101.1	0.3	0.2326	-
CCDC113	152.8	0.3	0.2327	-
CALM3	5817.1	0.2	0.2336	-
CSTB	1742.3	-0.3	0.2341	-
TRIM56	2750.2	-0.2	0.2342	-
AC092171.5	15.7	0.8	0.2342	-
FOXO3B	62.8	0.6	0.2344	-
CCDC85A	54.7	1.3	0.2345	-
AIMP2	218.3	-0.2	0.2345	-
C4orf36	40.2	0.7	0.2346	-
IL20RA	8.8	1.2	0.2347	-
ITGB1	52063.8	-0.3	0.2349	-
CNN3	6465.2	-0.3	0.2351	-
ADGRG6	797.4	-0.8	0.2354	-
SATB1	811.6	0.3	0.2355	-
PLEKHM1P1	517.2	-0.4	0.2355	-
STAT6	6277.4	-0.2	0.2356	-
AL358781.1	113.1	-1	0.2356	-
AC138811.2	38.6	1.6	0.2356	-
PLEKHA3	407.7	-0.3	0.2358	-
C1orf56	114.3	0.4	0.2359	-
SYNGR1	644.8	0.2	0.2362	-
CHD8	1694.5	0.1	0.2362	-
UEVLD	707.6	-0.2	0.2362	-
FREM1	10.3	-1.9	0.2362	-
FRY	1559.7	-0.7	0.2363	-
DHX38	1239.5	-0.2	0.2363	-
ATP6V0E2-AS1	24	0.8	0.2363	-
MTREX	1321.1	0.1	0.2365	-
EIF3J	592.8	-0.3	0.2365	-
TARDBP	2576.8	0.2	0.2365	-
RSPRY1	834.9	0.3	0.2365	-
C1QTNF7	202.3	-0.5	0.2366	-
CHRAC1	586	-0.2	0.2367	-
SERPINF2	9.6	-1.1	0.2367	-
WDR27	424.6	0.3	0.2367	-
AC120114.4	14.9	1	0.2367	-
RPS18P9	94.6	-0.4	0.2371	-
STK10	719.1	-0.2	0.2373	-
RBM27	572.2	-0.2	0.2373	-
RNASEK-C17orf49	7	1.6	0.2373	-
SERPINE2	9413.8	0.6	0.2376	-
PDCD11	889	-0.2	0.2376	-
HECTD4	1325.5	0.2	0.2376	-
PPP1R13L	164.7	-0.4	0.2378	-
TNFAIP1	1075.9	-0.2	0.2378	-
KRBA1	210.6	0.3	0.2378	-
KLHL41	37.4	0.7	0.2378	-
RTEL1-TNFRSF6B	176.3	0.5	0.2379	-
RNF167	1305.7	-0.2	0.2379	-
NUP98	2327.8	-0.2	0.2381	-
TTLL4	227.4	-0.4	0.2381	-
STOX2	77.4	0.7	0.2381	-
SAMD4B	2493	-0.2	0.2381	-
UBE3D	39.3	0.7	0.2382	-
F11R	75.3	-0.9	0.2382	-
CSGALNACT1	762.2	-0.6	0.2383	-
AC010618.4	22.3	0.7	0.2383	-
TTLL5	513.4	-0.3	0.2388	-
FAM227A	62.8	0.7	0.2388	-
AC073508.3	34.2	0.5	0.2388	-
C13orf46	15.6	-1.2	0.2388	-
RAB3A	35.9	0.5	0.239	-
GDI1	2121.1	-0.1	0.2396	-
LIPC	32	0.5	0.2398	-
WDFY3-AS2	197.9	0.4	0.24	-
AC093157.1	84.9	0.5	0.24	-
BGN	8869.9	0.3	0.2402	-
RPPH1	6.9	2	0.2403	-
TMTC4	285.3	0.5	0.2406	-
GAK	1378.3	-0.2	0.2406	-
SLC26A11	310.9	0.2	0.2408	-
JAKMIP3	12.5	1.3	0.2408	-
ZC3H12B	86.8	0.3	0.2409	-
NAPB	218.3	-0.2	0.2409	-
LPAR6	195	-0.2	0.2409	-
CFH	5778.3	-0.4	0.241	-
FLACC1	19.2	-0.8	0.2414	-
CCDC15	19.4	0.7	0.2417	-
TVP23C	88.4	0.6	0.2417	-
CATSPERE	33.6	-0.8	0.2417	-
UBE2W	457.8	-0.3	0.2418	-
SELENOW	752.7	-0.1	0.2418	-
TMA7	1285.3	-0.2	0.2418	-
DPH7	283.2	0.2	0.2419	-
TXNL4A	497.7	-0.2	0.2422	-
SCML2	49.9	0.4	0.2425	-
GALNT7	443.3	-0.2	0.2425	-
CSTF3	386.4	0.3	0.2426	-
SMO	283.3	0.9	0.2427	-
MAP3K4	755.3	0.4	0.2436	-
CPNE8	187.1	0.3	0.2436	-
BMPR1B	44.9	-0.5	0.2437	-
ATP1A3	6.7	1.5	0.2443	-
THEMIS2	89.3	0.5	0.2443	-
TBCEL	633.9	-0.2	0.2443	-
HDHD2	355.2	-0.3	0.2443	-
ERI2	262.3	0.4	0.2443	-
MIGA2	576.8	-0.4	0.2444	-
CCDC126	120.8	-0.4	0.2446	-
LRRC75B	155.5	0.3	0.2446	-
PRR14L	635.1	-0.2	0.2446	-
GIPC2	18.2	-1.2	0.2447	-
UQCRB	2414.9	0.2	0.2447	-
AC099066.2	11	-1	0.2447	-
SNHG8	887.4	0.3	0.2447	-
GCA	112.2	-0.3	0.2451	-
PCDHB9	64.8	0.9	0.2451	-
MXRA7	7519.7	-0.1	0.2451	-
EHD2	11540.6	-0.2	0.2453	-
GRIK1	60.6	-2.1	0.2453	-
UROD	1177.7	0.2	0.2454	-
AC027277.1	29.9	-1.8	0.2454	-
ERVK-28	7.1	1.3	0.2454	-
HIRA	877.5	-0.1	0.2455	-
GRB14	51	-1.1	0.2456	-
KANSL3	2123.7	-0.3	0.2457	-
TTC33	180.9	0.3	0.2459	-
RUNDC3B	56.7	0.7	0.2462	-
CDK5RAP2	1680.4	0.2	0.2462	-
AC092999.1	7	1.3	0.2462	-
INSYN2B	49.1	0.7	0.2464	-
HTATSF1	1360.9	0.2	0.2474	-
ZNF483	27.7	0.7	0.2478	-
PLBD1	41.5	0.6	0.2479	-
OCEL1	169.6	-0.3	0.248	-
TTLL12	555.9	-0.4	0.2483	-
WDR31	165.9	0.4	0.2485	-
ACTN2	8.8	-2.2	0.2486	-
RAPGEF4	37.5	0.9	0.2486	-
EDEM1	1225.5	-0.2	0.2486	-
CCDC117	533.8	0.3	0.2486	-
CTDP1	489.1	-0.2	0.2491	-
MAP1B	6557.7	0.4	0.2491	-
BCL3	346.3	0.4	0.2495	-
CETP	8.3	1.1	0.2495	-
PEX11B	533.6	-0.2	0.2496	-
MSX2	155.5	1	0.2497	-
AC009061.2	15	0.9	0.2498	-
C5AR2	26.1	0.6	0.2499	-
ZNF547	70.8	0.4	0.25	-
ZNF416	98.3	0.3	0.2501	-
AL024498.1	6.3	1.4	0.2501	-
RPSAP52	34.9	-0.6	0.2502	-
ELP2	2003.3	0.1	0.2505	-
LRRC36	7.8	1.2	0.2505	-
HRAS	368.5	-0.4	0.2505	-
DYRK4	231.2	0.2	0.2506	-
AC016582.3	30.3	1.4	0.2508	-
AC080038.1	16577.9	0.2	0.2511	-
CYGB	1387.2	0.3	0.2511	-
DPAGT1	541	-0.2	0.2512	-
P4HA1	2655.9	0.3	0.2513	-
AC048341.2	33.9	0.5	0.2514	-
KMT2A	2749.7	0.2	0.2516	-
NR1D1	393	0.4	0.2518	-
TAPBPL	240.8	0.3	0.2519	-
TMEM30B	214.3	-0.8	0.2519	-
AC018665.1	40.4	0.6	0.252	-
TMEM37	13.8	1.5	0.2522	-
ODF3B	40.4	-0.7	0.2522	-
ZNF891	124.3	0.3	0.2527	-
GALNT4	357.7	-0.2	0.2527	-
DNAJC18	470.5	0.2	0.2528	-
CCS	540.2	0.2	0.2534	-
ZFAT	220.1	0.2	0.2535	-
WWC1	132.4	-0.8	0.2535	-
ZNF776	322.7	0.3	0.2535	-
TMEM35B	560.5	-0.2	0.2535	-
ZNF280C	157.7	0.4	0.2537	-
PHLDA2	73.2	-0.5	0.254	-
TSGA10IP	8.3	1.1	0.2545	-
TLR4	332.4	-0.7	0.2547	-
NDRG2	60	-0.5	0.2547	-
PDE4A	703.6	-0.2	0.255	-
MED10	467.4	-0.2	0.255	-
RAB20	91.4	-0.5	0.255	-
TNKS1BP1	7960.1	-0.2	0.255	-
SGSH	1329	0.1	0.255	-
ADD1	7384.6	-0.1	0.2551	-
NALCN	110.3	-0.6	0.2551	-
SSU72	1783.4	-0.1	0.2551	-
ZNF507	474.7	0.2	0.2551	-
DHCR7	232	0.4	0.2551	-
SSNA1	459.1	-0.2	0.2551	-
TTC13	211.4	-0.4	0.2556	-
CDCA7L	472	0.3	0.2556	-
MAP3K11	544.7	-0.2	0.2556	-
EFCAB5	23.7	-1.1	0.2556	-
FGD5-AS1	3601.5	-0.2	0.2556	-
SLC24A3	40.8	-1.6	0.2558	-
MAPKAPK5-AS1	187.8	0.3	0.2559	-
ELP4	173.4	0.4	0.2562	-
GPR85	35	0.5	0.2562	-
DLGAP1	13.8	-1	0.2562	-
USP35	416.3	0.2	0.2563	-
DCAKD	540.5	0.2	0.2563	-
TOP2A	275.4	0.5	0.2566	-
MINDY1	471.3	0.3	0.2566	-
AL133415.1	15.5	0.9	0.2566	-
TMSB15B	63	0.6	0.2566	-
ATF5	1277.8	1.1	0.2567	-
AP002026.1	392.3	-0.3	0.2569	-
HMGB1P6	510.1	0.2	0.2569	-
GLIDR	62.8	0.4	0.2569	-
MTAP	647.4	-0.2	0.257	-
GYPC	1241.8	0.3	0.257	-
NME1-NME2	223.9	0.5	0.2572	-
SH3GL1	2028.3	-0.2	0.2572	-
CREBRF	1494.2	-0.3	0.2572	-
SLC25A21-AS1	25.1	0.6	0.2574	-
SH3PXD2A	8650.5	-0.2	0.2578	-
MICAL3	559.7	0.3	0.2578	-
MINCR	30.8	-0.5	0.2578	-
AL136131.3	27.9	1.1	0.2578	-
IKBKB	1025.9	-0.1	0.2579	-
GHDC	396.3	-0.4	0.258	-
SFTA1P	7.7	-1.4	0.258	-
ZNF746	438.6	-0.2	0.2581	-
C10orf55	8.3	1.1	0.2581	-
AP003071.3	7.3	-1.2	0.2581	-
CTIF	2082.9	-0.2	0.2582	-
TNFRSF13C	7.7	1.1	0.2582	-
CLMP	6673.1	0.3	0.2582	-
COMMD6	1046.2	-0.2	0.2582	-
IL31RA	47.7	1.2	0.2584	-
NOP2	299.6	-0.4	0.2586	-
SF3B4	943.7	-0.2	0.2591	-
PKN3	63.2	-0.5	0.2591	-
YAE1	141.1	0.3	0.2591	-
AC004784.1	11.8	1	0.2591	-
SLC7A6OS	596.6	-0.2	0.2593	-
PRMT7	563.9	-0.3	0.2593	-
RUFY3	945.8	0.2	0.2594	-
OSBP	1575.4	0.1	0.2594	-
TTYH2	60.5	0.6	0.2594	-
RAB30	768.6	0.3	0.2595	-
NMNAT3	389	0.2	0.2595	-
MT-TA	523.5	-0.4	0.2595	-
TBX5	669.2	0.3	0.2596	-
ZNF91	311.3	0.3	0.2596	-
GRPEL1	323.7	-0.3	0.2598	-
POLR3GL	555.4	-0.2	0.2598	-
ARHGEF1	1183.6	-0.2	0.2601	-
VWA5A	926.3	0.4	0.2601	-
MAPK8IP1	253.6	0.5	0.2601	-
ALDH1L1	11.5	-1.9	0.2601	-
B4GALT5	1440.3	-0.2	0.2601	-
SYNJ2BP	780.2	0.1	0.2601	-
TSSK3	35.1	0.5	0.2604	-
APLN	158.2	0.8	0.2604	-
ZNF579	157.5	0.4	0.2604	-
AL583722.3	20	1	0.2604	-
SMPD2	91.9	0.3	0.2605	-
GGH	248.9	-0.3	0.2605	-
SHPRH	517.3	0.3	0.2605	-
CDKN2AIP	380.9	-0.2	0.2605	-
AP003486.1	320.1	-0.3	0.2605	-
STAM-AS1	14.8	0.7	0.2605	-
NDUFAF1	212.3	-0.3	0.2606	-
NIPA2	826.7	-0.2	0.2606	-
APP	26295	0.1	0.2606	-
UBE2E1	1514.8	0.2	0.2606	-
SNTB1	677.5	-0.4	0.2606	-
KPNA2P3	70.2	-0.4	0.2606	-
ADCY3	1663.8	-0.4	0.2609	-
TESK2	98.7	0.4	0.2611	-
FIGNL1	166.7	0.4	0.2612	-
ZKSCAN7	104.7	0.5	0.2613	-
PLK4	23.7	0.7	0.2618	-
CD40	99.8	-0.7	0.2619	-
ZFP1	177.8	0.3	0.2628	-
PDK1	710.7	0.6	0.2629	-
AP001273.1	29.3	-0.6	0.2629	-
AC078777.1	7.9	2.1	0.2633	-
CCSER2	1216.1	0.1	0.2635	-
ZNF836	105.9	0.3	0.2635	-
LRFN3	300.4	-0.2	0.2636	-
ADAMTS17	6.6	-1.8	0.2636	-
PGA5	9.2	1.2	0.2636	-
AC008993.1	43.6	0.5	0.2636	-
NAALAD2	35.8	1	0.2639	-
TRPA1	565.3	0.8	0.2639	-
FHL2	4513.5	-0.3	0.2639	-
MECP2	1760	-0.3	0.2639	-
STON1-GTF2A1L	118.4	-0.9	0.2642	-
ARHGAP32	422.6	0.4	0.2643	-
GJC2	68.5	0.6	0.2645	-
AFMID	298.5	-0.3	0.2647	-
STAC3	12.2	1.1	0.2647	-
GK5	912.9	-0.6	0.2648	-
ACYP1	127.7	0.5	0.265	-
PTPA	1779	0.2	0.2654	-
RARA	786.8	0.2	0.2654	-
RAB33A	11.6	0.9	0.2654	-
DDX27	897	-0.1	0.2658	-
SCN1A	42.7	-1.1	0.2658	-
PMPCA	726.2	-0.2	0.2658	-
PCNX1	2379.3	0.3	0.266	-
DEPDC1B	12.3	1	0.2662	-
REEP6	58.2	-0.5	0.2662	-
PTGIR	117.3	-0.5	0.2662	-
NPHP1	162.7	0.3	0.2664	-
PDZK1	19.9	0.7	0.2664	-
UBE2O	512	-0.3	0.2664	-
REEP5	3114	-0.2	0.2666	-
AGFG1	1788.4	-0.3	0.2666	-
PPFIA2	42	-0.9	0.2668	-
ME3	376.6	0.4	0.2668	-
ERO1A	3069.7	-0.2	0.2668	-
MTIF3	425.9	0.2	0.2675	-
ATXN7L1	251	0.2	0.2675	-
CALHM5	759.4	-0.3	0.2676	-
CHD1L	699.4	0.2	0.2677	-
SGK3	268.7	-0.3	0.2678	-
DCAF7	1778.1	-0.2	0.2678	-
SLC30A5	1197.3	-0.2	0.2678	-
SOX12	600.1	0.5	0.2678	-
AP001469.3	9.4	1.1	0.2678	-
AC012181.1	9.4	-1	0.2678	-
TCF20	740.1	0.2	0.2681	-
RIPK2	274.7	0.2	0.2681	-
CDK5RAP3	1482.8	-0.2	0.2681	-
FAM131B	216.1	0.4	0.2681	-
SNCAIP	54.3	1.3	0.2685	-
TRAF5	442.3	-0.2	0.2686	-
TRIP6	1672	0.3	0.2686	-
SSSCA1-AS1	26.7	0.7	0.2686	-
ZHX1	1179.6	0.2	0.2688	-
TMEM41A	290.8	-0.3	0.2691	-
UBE2B	1328	-0.2	0.2693	-
PPP2R2B	6.7	2.6	0.2693	-
MLKL	76.4	-0.4	0.2693	-
